date,prc_val,div_val,prc_adj_val,div_adj_val,pd,pd_adj
30sep1929,2.07e+09,1.35e+07,6.57e+07,375271.5,5.034443,5.165833
31oct1929,3.13e+09,6158680,5.35e+07,211895.3,6.230608,5.53132
27nov1929,3.17e+09,8791651,5.16e+07,238548.8,5.889032,5.376059
31dec1929,2.90e+09,1.28e+07,5.06e+07,324033.3,5.420537,5.050929
31jan1930,2.63e+09,5797408,5.19e+07,154934.5,6.117095,5.814965
28feb1930,3.05e+09,8844560,5.40e+07,244277,5.841746,5.398731
31mar1930,3.11e+09,1.34e+07,5.80e+07,236089.8,5.445201,5.503447
30apr1930,3.08e+09,3983168,5.62e+07,120973.9,6.650392,6.140642
29may1930,3.68e+09,1.11e+07,5.62e+07,232687.8,5.803423,5.487041
30jun1930,2.71e+09,1.53e+07,4.66e+07,262107.8,5.17711,5.181326
31jul1930,2.80e+09,4326472,4.93e+07,124819.1,6.474174,5.978192
29aug1930,3.31e+09,9787130,5.00e+07,209733.1,5.822426,5.474117
30sep1930,2.62e+09,1.42e+07,4.19e+07,232868.9,5.217757,5.191601
31oct1930,2.20e+09,4491370,3.86e+07,122048.5,6.194791,5.757167
29nov1930,2.54e+09,7827394,3.90e+07,149626.4,5.783237,5.563742
31dec1930,2.34e+09,1.45e+07,3.53e+07,253885.8,5.081915,4.933517
31jan1931,1.55e+09,5102017,3.59e+07,196563.3,5.714337,5.208694
28feb1931,9.07e+08,7783011,4.08e+07,185784.7,4.758183,5.391924
31mar1931,2.34e+09,1.61e+07,3.65e+07,184068.8,4.977669,5.290746
30apr1931,2.09e+09,4109475,3.32e+07,89418.06,6.231658,5.916179
29may1931,1.96e+09,7043030,2.85e+07,156309.5,5.626306,5.206084
30jun1931,2.72e+09,1.62e+07,3.27e+07,182672.7,5.124546,5.187303
31jul1931,5.43e+08,4158942,2.91e+07,95653.46,4.871997,5.718811
31aug1931,2.06e+09,7163707,2.97e+07,138949.5,5.663848,5.365301
30sep1931,1.99e+09,1.50e+07,2.02e+07,132928.6,4.882322,5.022298
31oct1931,1.52e+09,4589225,2.14e+07,77470.89,5.800128,5.622568
30nov1931,1.72e+09,7038400,2.11e+07,157327.1,5.497137,4.898616
31dec1931,2.11e+09,1.58e+07,1.70e+07,151062.4,4.897696,4.724875
30jan1932,1.19e+09,4021040,1.65e+07,61097.29,5.692496,5.598336
29feb1932,1.47e+09,6511686,1.82e+07,119285.7,5.420261,5.026182
31mar1932,1.83e+09,1.48e+07,1.53e+07,109967.4,4.814087,4.934488
30apr1932,9.76e+08,4073948,1.23e+07,47614.85,5.47858,5.554033
31may1932,1.12e+09,5784782,9998080,85872.1,5.261497,4.757289
30jun1932,1.24e+09,1.45e+07,9547434,179122.5,4.445882,3.975958
30jul1932,1.03e+09,3225090,1.29e+07,31736.82,5.767942,6.005518
31aug1932,1.53e+09,5389553,1.85e+07,82327.24,5.649462,5.41447
30sep1932,-9.61e+07,1.43e+07,1.71e+07,84707.68,,5.310048
31oct1932,2.42e+08,3292926,1.47e+07,32481.11,4.295653,6.113162
30nov1932,1.21e+09,5332471,1.44e+07,80207.22,5.424922,5.192165
31dec1932,7.18e+08,1.38e+07,1.47e+07,107165,3.952351,4.917998
31jan1933,1.08e+09,3238487,1.43e+07,45625.26,5.813004,5.749029
28feb1933,9.82e+08,3414946,1.21e+07,83315.69,5.661149,4.981185
31mar1933,8.64e+08,1.32e+07,1.22e+07,78330.67,4.17921,5.049842
29apr1933,1.38e+09,2624286,1.75e+07,31825.98,6.266479,6.307894
31may1933,1.52e+09,4828354,2.12e+07,69597.22,5.748721,5.718542
30jun1933,1.68e+09,1.19e+07,2.41e+07,74326.39,4.953973,5.779885
31jul1933,1.59e+09,2352960,2.16e+07,28944.73,6.513372,6.616888
31aug1933,1.08e+09,1773951,2.44e+07,50699.37,6.409755,6.17773
30sep1933,8.09e+08,1.26e+07,2.25e+07,107950.8,4.161821,5.339741
31oct1933,1.58e+09,2882341,2.04e+07,35789.88,6.304178,6.347138
29nov1933,1.14e+09,6714168,2.41e+07,114758.5,5.135603,5.349084
30dec1933,1.65e+09,1.25e+07,2.28e+07,71332.65,4.87897,5.766062
31jan1934,1.84e+09,2779036,2.55e+07,52061.82,6.497591,6.195562
28feb1934,1.77e+09,4430590,2.54e+07,106628.3,5.988571,5.471418
31mar1934,1.65e+09,1.21e+07,2.52e+07,78062.66,4.921514,5.778845
30apr1934,1.82e+09,2845015,2.46e+07,49388.51,6.462163,6.210849
31may1934,-1.44e+08,4371718,2.29e+07,73337.48,,5.742662
30jun1934,-1.26e+08,1.23e+07,2.34e+07,75320.38,,5.737094
31jul1934,4.65e+07,2665724,2.03e+07,46463.91,2.858217,6.082016
31aug1934,1.21e+09,5669904,2.37e+07,106744.6,5.362834,5.40266
29sep1934,1.60e+09,1.25e+07,2.17e+07,73090.74,4.854014,5.693628
31oct1934,1.22e+09,3129287,2.17e+07,35346.46,5.964807,6.418988
30nov1934,2.47e+09,7874219,2.56e+07,102445,5.749679,5.519538
31dec1934,3.17e+09,1.74e+07,2.46e+07,97353.41,5.202421,5.531868
31jan1935,-1.04e+08,3344131,2.28e+07,45499.95,,6.215987
28feb1935,2.05e+09,6403834,2.24e+07,102677,5.767752,5.384021
